billing_date,cost,rolling_3_day_avg,is_spike
2026-01-01,226.95,226.95,0
2026-01-02,140.65,183.8,0
2026-01-03,382.25,249.95,1
2026-01-04,197.2,240.03,0
2026-01-05,453.7,344.38,1
2026-01-06,143.65,264.85,0
2026-01-07,456.65,351.33,1
2026-01-08,157.2,252.5,0
2026-01-09,248.1,287.32,0
2026-01-10,531.3,312.2,1
2026-02-01,216.5,331.97,0
2026-02-02,24.75,257.52,0
2026-02-03,188.6,143.28,1
2026-02-04,226.1,146.48,1
2026-02-05,66.4,160.37,0
2026-02-06,42.15,111.55,0
2026-02-07,39.8,49.45,0
2026-02-08,136.55,72.83,1
2026-02-09,498.25,224.87,1
2026-03-01,141.2,258.67,0
2026-03-02,31.4,223.62,0
2026-03-03,8.75,60.45,0
2026-03-04,12.6,17.58,0
2026-03-05,238.35,86.57,1
2026-03-06,545.1,265.35,1
2026-03-07,17.2,266.88,0
2026-03-08,74.3,212.2,0
2026-03-09,89.45,60.32,1
2026-03-10,147.85,103.87,1
