billing_date,year,month,month_name,day,weekday
2026-01-01,2026,1,January,1,Thursday
2026-01-02,2026,1,January,2,Friday
2026-01-03,2026,1,January,3,Saturday
2026-01-04,2026,1,January,4,Sunday
2026-01-05,2026,1,January,5,Monday
2026-01-06,2026,1,January,6,Tuesday
2026-01-07,2026,1,January,7,Wednesday
2026-01-08,2026,1,January,8,Thursday
2026-01-09,2026,1,January,9,Friday
2026-01-10,2026,1,January,10,Saturday
2026-02-01,2026,2,February,1,Sunday
2026-02-02,2026,2,February,2,Monday
2026-02-03,2026,2,February,3,Tuesday
2026-02-04,2026,2,February,4,Wednesday
2026-02-05,2026,2,February,5,Thursday
2026-02-06,2026,2,February,6,Friday
2026-02-07,2026,2,February,7,Saturday
2026-02-08,2026,2,February,8,Sunday
2026-02-09,2026,2,February,9,Monday
2026-03-01,2026,3,March,1,Sunday
2026-03-02,2026,3,March,2,Monday
2026-03-03,2026,3,March,3,Tuesday
2026-03-04,2026,3,March,4,Wednesday
2026-03-05,2026,3,March,5,Thursday
2026-03-06,2026,3,March,6,Friday
2026-03-07,2026,3,March,7,Saturday
2026-03-08,2026,3,March,8,Sunday
2026-03-09,2026,3,March,9,Monday
2026-03-10,2026,3,March,10,Tuesday
