billing_month,team,actual_spend,monthly_budget,variance,budget_used_percent,status
2026-01,data,86.3,700.0,-613.7,12.33,on track
2026-01,marketing,76.75,450.0,-373.25,17.06,on track
2026-01,ml,1722.15,2200.0,-477.85,78.28,on track
2026-01,platform,744.75,1800.0,-1055.25,41.38,on track
2026-01,unknown,307.7,300.0,7.7,102.57,over budget
2026-02,data,64.55,700.0,-635.45,9.22,on track
2026-02,marketing,66.4,450.0,-383.6,14.76,on track
2026-02,ml,912.95,2200.0,-1287.05,41.5,on track
2026-02,platform,353.05,1800.0,-1446.95,19.61,on track
2026-02,unknown,42.15,300.0,-257.85,14.05,on track
2026-03,data,21.35,700.0,-678.65,3.05,on track
2026-03,marketing,91.5,450.0,-358.5,20.33,on track
2026-03,ml,783.45,2200.0,-1416.55,35.61,on track
2026-03,platform,320.45,1800.0,-1479.55,17.8,on track
2026-03,unknown,89.45,300.0,-210.55,29.82,on track
